id,name
3,Inflasi
4,Konstruksi
5,Konsumsi dan Pengeluaran
6,Tenaga Kerja
7,Energi
8,Ekspor-Impor
9,Industri
12,Kependudukan
13,Keuangan
16,Pariwisata
17,Transportasi
22,Nilai Tukar Petani
23,Kemiskinan dan Ketimpangan
24,Peternakan
26,Indeks Pembangunan Manusia
28,Pendidikan
30,Kesehatan
34,Politik dan Keamanan
40,Gender
52,Produk Domestik Regional Bruto (Lapangan Usaha)
53,Tanaman Pangan
54,Perkebunan
55,Hortikultura
56,Perikanan
101,Pemerintahan
102,Harga Eceran
154,Produk Domestik Regional Bruto (Pengeluaran)
