kode_konsep,konsep,definisi
K00002,Acquired Immuno Deficiency Syndrome (AIDS),Suatu kumpulan gejala berkurangnya kemampuan pertahanan diri yang disebabkan oleh masuknya virus human immunodeficiency virus (HIV) dalam tubuh seseorang.
K00007,Administrasi Kependudukan,"Rangkaian kegiatan penataan dan penertiban dalam penerbitan dokumen dan data kependudukan melalui pendaftaran penduduk, pencatatan sipil, pengelolaan informasi kependudukan serta pendayagunaan hasilnya untuk pelayanan publik dan pembangunan sektor lain."
K00011,Agama,"Ajaran, sistem yang mengatur tata keimanan (kepercayaan) dan peribadatan kepada Tuhan Yang Maha Kuasa serta tata kaidah yang berhubungan dengan pergaulan manusia dan manusia serta manusia dan lingkungannya."
K00017,Ahli Teknologi Laboratorium Medik,Tenaga kesehatan yang memiliki kompetensi melakukan analisis terhadap cairan dan jaringan tubuh manusia untuk menghasilkan informasi tentang kesehatan perorangan dan masyarakat.
K00019,Air Baku,"Air yang dapat berasal dari sumber air permukaan, cekungan air tanah dan/atau air hujan yang memenuhi baku mutu tertentu."
K02340,Air Bersih,Air yang digunakan untuk keperluan sehari-hari yang kualitasnya memenuhi syarat kesehatan dan dapat diminum setelah melalui proses pengolahan ataupun tanpa pengolahan.
K00025,Air Minum,"Air yang memenuhi syarat kesehatan (aspek kuantitas, kualitas, kontinuitas, dan keterjangkauan) dan dapat diminum, baik telah melalui proses pengolahan ataupun tidak."
K00160,Air Susu Ibu (ASI),Susu yang diproduksi oleh manusia untuk konsumsi bayi dan merupakan sumber gizi utama bayi yang belum dapat mencerna makanan padat.
K00035,Akreditasi,Pengakuan terhadap seseorang atau institusi yang diberikan oleh lembaga yang berwenang berdasarkan syarat kebakuan atau kriteria tertentu.
K00060,Akta Kelahiran,Dokumen resmi yang diterbitkan oleh negara bagi individu sebagai tanda bukti kelahiran.
K00090,Alumni,Orang-orang yang telah mengikuti atau tamat dari suatu sekolah atau perguruan tinggi atau lembaga pendidikan dan pelatihan.
K00091,Anak,Seseorang yang belum berusia 18 (delapan belas) tahun.
K00093,Anak Kandung,"Anak (garis keturunan pertama) atau generasi kedua, termasuk anak yang lahir dalam kondisi meninggal di dalam kandungan (lahir mati)."
K00094,Anak Sekolah,Penduduk yang masih bersekolah pada jenjang pendidikan dasar atau menengah.
