id_standar,nama_data,konsep_kode,definisi,klasifikasi_penyajian,klasifikasi_isian,is_klasifikasi,ukuran,satuan
10120012,Jenis Kegiatan Utama Komuter,K00957 Komuter|,Jenis kegiatan yang dilakukan oleh komuter yang menggunakan waktu terbanyak dibandingkan kegiatan lainnya.,,"1. Bekerja|
2. Sekolah|",1,,
10120071,Jenis Mutasi Anggota Keluarga,K00106 Anggota Keluarga|,Pengelompokan perubahan atau perpindahan anggota keluarga yang dapat menyebabkan penambahan atau pun pengurangan anggota keluarga dalam suatu keluarga.,,"1. Menikah|
2. Meninggal dunia|
3. Anggota baru|",1,,
10120029,Klasifikasi Generasi,"K02354 Generasi|
K01476 Penduduk|",Pengelompokan penduduk berdasarkan kohor tahun kelahiran.,,"1. Pre-boomers|
2. Boomers|
3. Generasi X|
4. Generasi Y/Milenial|
5. Generasi Z|
6. Post generasi Z|",1,,
10120053,Status Hubungan Kekerabatan,"K00829 Keluarga|
K01925 Rumah Tangga|",Ikatan atau pertalian setiap orang dalam satuan kekerabatan (keluarga/rumah tangga) dengan kepala atau penanggung jawab satuan kekerabatan tersebut berdasarkan kartu keluarga atau pengakuan dari kepala keluarga/kepala rumah tangga.,,"1. Kepala keluarga/rumah tangga|
2. Suami/istri|
3. Anak|
4. Menantu|
5. Cucu|
6. Orang tua|
7. Mertua|
8. Famili lain|
9. Pembantu/sopir/asisten rumah tangga/pengasuh|
10. Lainnya|",1,,
10120057,Status Kewarganegaraan,K00932 Kewarganegaraan|,Kedudukan seorang warga suatu negara yang ditetapkan berdasarkan peraturan perundang-undangan.,,"1. Warga Negara Indonesia (WNI)|
2. Warga Negara Asing (WNA)|",1,,
10120063,Status Perkawinan,K01692 Pernikahan/Perkawinan|,Status seseorang dalam ikatan lahir batin dengan pasangannya untuk membentuk keluarga (rumah tangga) yang bahagia kekal berdasarkan Ketuhanan Yang Maha Esa.,,"S. Belum kawin|
M. Kawin|
W. Cerai mati|
D. Cerai hidup|",1,,
10120066,Umur/Usia,K02240 Umur/Usia|,"Lama waktu hidup sejak dilahirkan yang dihitung dalam tahun menurut sistem kalender Masehi dengan pembulatan ke bawah atau umur ulang tahun yang terakhir. Dalam pengumpulan data direkomendasikan menggunakan kelompok umur tunggal, sedangkan untuk penyajian data direkomendasikan menggunakan kelompok umur tunggal, kelompok umur 5 tahunan, kelompok umur 10 tahunan, dan/atau kelompok umur dependensi.",,"0A. 0-14 tahun|
0T. 0-4 tahun|
00. 0 tahun|
01. 1 tahun|
02. 2 tahun|
03. 3 tahun|
04. 4 tahun|
0B. 5-14 tahun|
0D. 5-9 tahun|
05. 5 tahun|
06. 6 tahun|
07. 7 tahun|
08. 8 tahun|
09. 9 tahun|
1C. 10-14 tahun|
10. 10 tahun|
11. 11 tahun|
12. 12 tahun|
13. 13 tahun|
14. 14 tahun|
1A. 15-64 tahun|
1B. 15-24 tahun|
1D. 15-19 tahun|
15. 15 tahun|
16. 16 tahun|
17. 17 tahun|
18. 18 tahun|
19. 19 tahun|
2C. 20-24 tahun|
20. 20 tahun|
21. 21 tahun|
22. 22 tahun|
23. 23 tahun|
24. 24 tahun|
2B. 25-34 tahun|
2D. 25-29 tahun|
25. 25 tahun|
26. 26 tahun|
27. 27 tahun|
28. 28 tahun|
29. 29 tahun|
3C. 30-34 tahun|
30. 30 tahun|
31. 31 tahun|
32. 32 tahun|
33. 33 tahun|
34. 34 tahun|
3B. 35-44 tahun|
3D. 35-39 tahun|
35. 35 tahun|
36. 36 tahun|
37. 37 tahun|
38. 38 tahun|
39. 39 tahun|
4C. 40-44 tahun|
40. 40 tahun|
41. 41 tahun|
42. 42 tahun|
43. 43 tahun|
44. 44 tahun|
4B. 45-54 tahun|
4D. 45-49 tahun|
45. 45 tahun|
46. 46 tahun|
47. 47 tahun|
48. 48 tahun|
49. 49 tahun|
5C. 50-54 tahun|
50. 50 tahun|
51. 51 tahun|
52. 52 tahun|
53. 53 tahun|
54. 54 tahun|
5B. 55-64 tahun|
5D. 55-59 tahun|
55. 55 tahun|
56. 56 tahun|
57. 57 tahun|
58. 58 tahun|
59. 59 tahun|
6C. 60-64 tahun|
60. 60 tahun|
61. 61 tahun|
62. 62 tahun|
63. 63 tahun|
64. 64 tahun|
6A. 65+ tahun|
6B. 65-74 tahun|
6D. 65-79 tahun|
65. 65 tahun|
66. 66 tahun|
67. 67 tahun|
68. 68 tahun|
69. 69 tahun|
7C. 70-74 tahun|
70. 70 tahun|
71. 71 tahun|
72. 72 tahun|
73. 73 tahun|
74. 74 tahun|
7T. 75+ tahun|
7B. 75-84 tahun|
7D. 75-79 tahun|
75. 75 tahun|
76. 76 tahun|
77. 77 tahun|
78. 78 tahun|
79. 79 tahun|
8C. 80-84 tahun|
80. 80 tahun|
81. 81 tahun|
82. 82 tahun|
83. 83 tahun|
84. 84 tahun|
8T. 85+ tahun|
8B. 85-94 tahun|
8D. 85-89 tahun|
85. 85 tahun|
86. 86 tahun|
87. 87 tahun|
88. 88 tahun|
89. 89 tahun|
9C. 90-94 tahun|
90. 90 tahun|
91. 91 tahun|
92. 92 tahun|
93. 93 tahun|
94. 94 tahun|
9T. 95+ tahun|
95. 95 tahun|
96. 96 tahun|
97. 97+ tahun|",1,,
10220003,Jenis Jabatan,K00643 Jabatan|,"Macam sekumpulan pekerjaan yang mempunyai rangkaian tugas yang sama atau berhubungan satu dengan yang lain, dan yang pelaksanaannya meminta kecakapan, pengetahuan, keterampilan dan kemampuan yang juga sama.",,Klasifikasi Baku Jabatan Indonesia|,1,,
10220004,Jenis Jabatan Manajerial,K01764 Jabatan Manajerial|,Macam jabatan yang berhubungan dengan pengaturan pekerjaan atau kerja sama di antara berbagai kelompok atau sejumlah orang untuk mencapai tujuan.,,"11. Pimpinan Eksekutif, Pejabat Tinggi Pemerintah dan Pejabat Pembuat Peraturan|
12. Manajer Administrasi dan Komersial|
13. Manajer Produksi dan Pelayanan Khusus|
14. Manajer Jasa Perhotelan, Perdagangan, dan Jasa Lainnya|",1,,
10220013,Jenis Tenaga Kerja Mandiri,K02166 Pekerja Mandiri/Wirausaha|,Penggolongan penduduk berusia 15 tahun ke atas yang ke atas yang sudah berhasil menciptakan atau membuka lapangan kerja baru kebutuhan sendiri maupun untuk masyarakat.,,"1. Tenaga kerja mandiri pemula|
2. Tenaga kerja mandiri lanjutan|",1,,
